Khối Lớp,Học Kỳ,STT,Mã Bài,Tên Bài Học,Tác Giả,Trọng Tâm Bài Học / Nội Dung,Phân Loại Nguồn,Tập / Trang SGK Đối Chiếu,Link Đọc Trực Tuyến
Lớp 3,Học kỳ 1,3,tv-g3-b3,Bài 3: Em vui đến trường,Nguyễn Lãm Thắng,"Đọc diễn cảm bài thơ, cảm nhận niềm vui rộn rã khi mỗi ngày được đến trường học chữ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 18, 19 (Chủ điểm 1: Những búp măng non)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,4,tv-g3-b4,Bài 4: Cậu học sinh mới,Theo Đức Hoài,"Đọc hiểu câu chuyện về tuổi thơ của nhà bác học Lu-i Pa-xtơ, bồi dưỡng niềm say mê học tập và khám phá khoa học.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 22, 23 (Chủ điểm 1: Những búp măng non)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,5,tv-g3-b5,Bài 5: Mùa hè lấp lánh,Nguyễn Minh Nguyên,"Cảm nhận vẻ đẹp rực rỡ, âm thanh náo nức và những trải nghiệm thú vị của mùa hè tuổi thơ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 26, 27 (Chủ điểm 2: Mùa hè kỳ thú)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,6,tv-g3-b6,Bài 6: Cánh đồng tuổi thơ,Nguyễn Trọng Tạo,Đọc hiểu vẻ đẹp thanh bình của cánh đồng quê hương và tình cảm gắn bó với quê hương xứ sở.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 30, 31 (Chủ điểm 2: Mùa hè kỳ thú)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,7,tv-g3-b7,Bài 7: Con đường đến trường,Đỗ Bích Thúy,"Đọc hiểu câu chuyện vượt khó đến trường của học sinh vùng cao, khâm phục tinh thần hiếu học của các bạn.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 34, 35 (Chủ điểm 2: Mùa hè kỳ thú)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,8,tv-g3-b8,Bài 8: Lời giải toán đặc biệt,Theo Bồi dưỡng Toán tiểu học,"Đọc hiểu câu chuyện về danh nhân Vích-to Huy-gô, ca ngợi tài năng sáng tạo và sự kết hợp kỳ diệu giữa Toán học và Văn học.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 38, 39 (Chủ điểm 3: Khám phá tri thức)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,9,tv-g3-b9,Bài 9: Bàn tay cô giáo,Định Hải,"Học thuộc lòng bài thơ, khâm phục đôi bàn tay khéo léo và tình yêu thương của cô giáo.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 42, 43 (Chủ điểm 3: Khám phá tri thức)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,10,tv-g3-b10,Bài 10: Nhà rông ở Tây Nguyên,Nguyễn Văn Huy,Hiểu kiến trúc độc đáo và ý nghĩa văn hóa thiêng liêng của nhà rông đối với đồng bào Tây Nguyên.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 46, 47 (Chủ điểm 3: Khám phá tri thức)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,11,tv-g3-b11,Bài 11: Tiếng chim hót trong vườn,Võ Quảng,Cảm nhận âm thanh rộn rã và vẻ đẹp tươi mới của thiên nhiên qua tiếng hót của các loài chim.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 50, 51 (Chủ điểm 4: Thiên nhiên kỳ thú)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,12,tv-g3-b12,Bài 12: Thư viện trường em,NXB Giáo Dục VN,"Hiểu ý nghĩa của thư viện trường học, nâng cao văn hóa đọc và ý thức giữ trật tự nơi công cộng.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 54, 55 (Chủ điểm 4: Thiên nhiên kỳ thú)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,13,tv-g3-b13,Bài 13: Bầu trời mùa thu,Theo Xô-khôm-lin-xki,"Đọc hiểu bài văn, rèn luyện năng lực quan sát tinh tế và cảm nhận vẻ đẹp của bầu trời mùa thu.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 58, 59 (Chủ điểm 4: Thiên nhiên kỳ thú)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,14,tv-g3-b14,Bài 14: Quạt cho bà ngủ,Thạch Quỳ,"Học thuộc lòng bài thơ, cảm nhận lòng hiếu thảo, tình yêu thương chăm sóc bà ân cần của bạn nhỏ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 62, 63 (Chủ điểm 4: Thiên nhiên kỳ thú)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 2,15,tv-g3-b15,Bài 15: Cóc kiện Trời,Truyện cổ tích Việt Nam,"Đọc hiểu truyện cổ tích, ca ngợi lòng dũng cảm, sự thông minh và tinh thần đoàn kết cứu muôn loài của chú Cóc tía.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 10, 11 (Chủ điểm 5: Đất nước ngàn năm)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,16,tv-g3-b16,Bài 16: Hai Bà Trưng,Theo Lịch sử Việt Nam,Tự hào về truyền thống yêu nước chống ngoại xâm oanh liệt của Hai Bà Trưng và phụ nữ Việt Nam.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 16, 17 (Chủ điểm 5: Đất nước ngàn năm)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,17,tv-g3-b17,Bài 17: Đất nước tươi đẹp,Trần Đăng Khoa,"Học thuộc lòng bài thơ, cảm nhận sự giàu đẹp của dải đất hình chữ S và ý thức xây dựng quê hương.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 22, 23 (Chủ điểm 5: Đất nước ngàn năm)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,18,tv-g3-b18,Bài 18: Bức thư gửi chú hải quân,NXB Giáo Dục VN,"Tập đọc và hiểu hình thức bức thư thăm hỏi, bồi dưỡng tình cảm gắn bó giữa đất liền và hải đảo.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 28, 29 (Chủ điểm 6: Biển đảo quê hương)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,19,tv-g3-b19,Bài 19: Chú hải quân canh giữ đảo xa,Định Hải,"Học thuộc lòng bài thơ, ca ngợi tinh thần quả cảm, kiên trung của các chiến sĩ hải quân.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 34, 35 (Chủ điểm 6: Biển đảo quê hương)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,20,tv-g3-b20,Bài 20: Bác sĩ Y-éc-xanh,Theo Đức Hoài,"Khâm phục nhân cách cao cả, lòng nhân ái bao la và cống hiến vĩ đại của bác sĩ Y-éc-xanh cho nhân dân Việt Nam.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 40, 41 (Chủ điểm 7: Những người bạn quốc tế)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,21,tv-g3-b21,Bài 21: Người trí thức yêu nước,Theo Bác sĩ Đặng Văn Ngữ,"Tự hào và noi gương tấm lòng yêu nước nồng nàn, sẵn sàng hy sinh cống hiến của Giáo sư Đặng Văn Ngữ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 46, 47 (Chủ điểm 7: Những người bạn quốc tế)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,22,tv-g3-b22,Bài 22: Trái Đất xanh của chúng mình,Định Hải,"Học thuộc lòng bài thơ, nâng cao ý thức giữ gìn vệ sinh môi trường và bảo vệ hành tinh xanh.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 52, 53 (Chủ điểm 8: Ngôi nhà chung Trái Đất)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,23,tv-g3-b23,Bài 23: Cùng vui chơi trong nắng mới,Võ Quảng,Cảm nhận niềm vui tươi lành mạnh của các trò chơi vận động trong giờ ra chơi tại trường.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 58, 59 (Chủ điểm 8: Ngôi nhà chung Trái Đất)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,24,tv-g3-b24,Bài 24: Hương lúa chín đầu mùa,Thạch Lam,Cảm nhận hương vị ngọt ngào của lúa nếp mùa thu và tình cảm gắn bó với quê hương qua áng văn của Thạch Lam.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập hai — Trang 64, 65 (Chủ điểm 8: Ngôi nhà chung Trái Đất)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-hai.4698697436
Lớp 3,Học kỳ 2,25,tv-g3-b25,Bài 25: Đấu trường Trạng Nguyên nhí Lớp 3,WonderKids — Tự sinh,Tổng kết kiến thức kỹ năng Tiếng Việt Lớp 3 và bồi dưỡng lòng tự tin chinh phục tri thức.,NỘI DUNG TỰ SINH (WonderKids Bổ Trợ),Nội dung tự sinh,
Lớp 4,Học kỳ 1,1,tv-g4-b1,Bài 1: Dế Mèn bênh vực kẻ yếu (Phần 1),Tô Hoài,"Đọc diễn cảm trích đoạn truyện kinh điển của Tô Hoài, cảm nhận tấm lòng hiệp nghĩa, bênh vực kẻ yếu của Dế Mèn.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 10, 11 (Chủ điểm 1: Thương người như thể thương thân)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,2,tv-g4-b2,Bài 2: Truyện cổ nước mình,Lâm Thị Mỹ Dạ,"Học thuộc lòng bài thơ, hiểu ý nghĩa nhân văn sâu sắc của truyện cổ tích nước nhà.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 14, 15 (Chủ điểm 1: Thương người như thể thương thân)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,3,tv-g4-b3,Bài 3: Thư thăm bạn,Lương Ngọc Mạch,"Tập đọc và viết thư thăm hỏi, bồi dưỡng tình cảm sẻ chia với những hoàn cảnh khó khăn.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 18, 19 (Chủ điểm 1: Thương người như thể thương thân)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,4,tv-g4-b4,Bài 4: Dế Mèn bênh vực kẻ yếu (Phần 2),Tô Hoài,"Hiểu sức mạnh của lẽ phải, sự dũng cảm và tinh thần thượng võ bảo vệ công lý của Dế Mèn.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 22, 23 (Chủ điểm 1: Thương người như thể thương thân)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,5,tv-g4-b5,Bài 5: Mười năm cõng bạn đi học,Theo Báo Tiền Phong,"Khâm phục và noi gương tình bạn cao cả, sự tận tụy cõng bạn suốt 10 năm của bạn Đoàn Trường Sinh.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 26, 27 (Chủ điểm 1: Thương người như thể thương thân)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,6,tv-g4-b6,Bài 6: Bài ca Trái Đất,Định Hải,"Học thuộc lòng bài thơ, cảm nhận thông điệp hòa bình và chung tay bảo vệ hành tinh xanh.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 30, 31 (Chủ điểm 2: Giữ lấy màu xanh)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,7,tv-g4-b7,Bài 7: Những hạt thóc giống,Truyện dân gian Campuchia,"Đọc hiểu câu chuyện, ca ngợi đức tính trung thực là phẩm chất quý giá nhất của con người.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 34, 35 (Chủ điểm 3: Trung thực - Tự trọng)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,8,tv-g4-b8,Bài 8: Nếu chúng mình có phép lạ,Định Hải,"Học thuộc lòng bài thơ, cảm nhận những ước mơ ngây thơ, nhân đạo và cao đẹp của thiếu nhi.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 38, 39 (Chủ điểm 4: Ước mơ tuổi thơ)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,9,tv-g4-b9,Bài 9: Về thăm bà,Thạch Lam,"Cảm nhận tình cảm bà cháu sâu nặng, ấm áp và không gian thanh bình của chốn quê hương qua ngòi bút Thạch Lam.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 42, 43 (Chủ điểm 5: Tình cảm gia đình)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,10,tv-g4-b10,Bài 10: Cây đa quê hương,Nguyễn Khắc Viện,Đọc hiểu vẻ đẹp cổ kính của cây đa làng và tình yêu tha thiết với cội nguồn quê hương.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 46, 47 (Chủ điểm 5: Tình cảm gia đình)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 1,11,tv-g4-b11,Bài 11: Bông hoa niềm vui,NXB Giáo Dục VN,"Đọc hiểu câu chuyện, bồi dưỡng lòng hiếu thảo với cha mẹ và tinh thần tôn trọng kỷ luật tập thể.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập một — Trang 50, 51 (Chủ điểm 5: Tình cảm gia đình)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-mot.4698846675
Lớp 4,Học kỳ 2,12,tv-g4-b12,Bài 12: Bốn anh tài (Phần 1),Truyện dân gian dân tộc Tày,"Đọc hiểu truyện dân gian dân tộc Tày, ca ngợi sức mạnh đoàn kết và tài năng phi thường của các anh hùng.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 10, 11 (Chủ điểm 6: Người ta là hoa đất)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,13,tv-g4-b13,Bài 13: Bốn anh tài (Phần 2),Truyện dân gian dân tộc Tày,Khẳng định sức mạnh vô địch của tinh thần đồng đội và trí dũng song toàn trong việc trừ gian diệt bạo.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 16, 17 (Chủ điểm 6: Người ta là hoa đất)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,14,tv-g4-b14,Bài 14: Trống đồng Đông Sơn,Nguyễn Văn Huyên,Tự hào về nền văn minh Đông Sơn cổ đại và di sản văn hóa thiêng liêng của dân tộc.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 22, 23 (Chủ điểm 7: Vẻ đẹp non sông)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,15,tv-g4-b15,Bài 15: Vịnh Hạ Long,Thi Sảnh,"Đọc hiểu áng văn miêu tả kiệt tác Vịnh Hạ Long, bồi dưỡng tình yêu và ý thức giữ gìn danh lam thắng cảnh đất nước.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 28, 29 (Chủ điểm 7: Vẻ đẹp non sông)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,16,tv-g4-b16,Bài 16: Kỳ quan Hang Sơn Đoòng,Theo Báo Khoa học và Đời sống,"Tự hào về kỳ quan thiên nhiên vô giá của Việt Nam, khơi dậy niềm đam mê khám phá thế giới tự nhiên.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 34, 35 (Chủ điểm 7: Vẻ đẹp non sông)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,17,tv-g4-b17,Bài 17: Nhà bác học của đồng ruộng,Hàm Châu,Khâm phục tinh thần say mê nghiên cứu khoa học và tấm lòng tận tụy vì nông dân của Giáo sư Lương Định Của.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 40, 41 (Chủ điểm 8: Những người quả cảm)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,18,tv-g4-b18,Bài 18: Chiếc lá,Khái Hưng,"Hiểu ý nghĩa triết lý sâu sắc về lối sống cống hiến thầm lặng, khiêm tốn vì cộng đồng.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 46, 47 (Chủ điểm 8: Những người quả cảm)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,19,tv-g4-b19,Bài 19: Chú bé Lượm,Tố Hữu,"Học thuộc lòng bài thơ, cảm phục tinh thần yêu nước quả cảm, sự hồn nhiên và hy sinh anh dũng của chú bé Lượm.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 52, 53 (Chủ điểm 8: Những người quả cảm)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,20,tv-g4-b20,Bài 20: Khúc hát ru những em bé lớn trên lưng mẹ,Nguyễn Khoa Điềm,"Đọc diễn cảm bài thơ, cảm nhận tình yêu thương con tha thiết hòa quyện cùng tình yêu quê hương đất nước của người mẹ Tà-ôi.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 58, 59 (Chủ điểm 8: Những người quả cảm)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,21,tv-g4-b21,Bài 21: Vương quốc nụ cười,Theo Truyện ngụ ngôn thế giới,"Đọc hiểu câu chuyện ngụ ngôn, nhận thức giá trị to lớn của tiếng cười và tinh thần lạc quan yêu đời.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 4 Tập hai — Trang 64, 65 (Chủ điểm 8: Những người quả cảm)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-4-tap-hai.4698852686
Lớp 4,Học kỳ 2,22,tv-g4-b22,Bài 22: Đại hội Trạng Nguyên Tiếng Việt 4,WonderKids — Tự sinh,"Tổng kết kiến thức ngữ pháp và văn học Lớp 4, nâng cao kỹ năng thực hành ngôn ngữ chuẩn mực.",NỘI DUNG TỰ SINH (WonderKids Bổ Trợ),Nội dung tự sinh,
Lớp 5,Học kỳ 1,1,tv-g5-b1,Bài 1: Thư gửi các học sinh,Hồ Chí Minh,"Đọc diễn cảm bức thư lịch sử của Bác Hồ nhân ngày khai trường đầu tiên của nước Việt Nam độc lập, thấu hiểu trách nhiệm của học sinh với tương lai đất nước.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 10, 11 (Chủ điểm 1: Việt Nam - Tổ quốc em)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,2,tv-g5-b2,Bài 2: Quang cảnh làng mạc ngày mùa,Tô Hoài,Cảm nhận bức tranh phong cảnh làng quê ngày mùa trù phú qua nghệ thuật miêu tả sắc thái màu vàng tinh tế của nhà văn Tô Hoài.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 14, 15 (Chủ điểm 1: Việt Nam - Tổ quốc em)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,3,tv-g5-b3,Bài 3: Sắc màu em yêu,Phạm Đình Ân,"Học thuộc lòng bài thơ, cảm nhận tình yêu thiết tha đối với từng sắc màu gắn liền với Tổ quốc và quê hương.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 18, 19 (Chủ điểm 1: Việt Nam - Tổ quốc em)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,4,tv-g5-b4,Bài 4: Lòng dân (Phần 1),Nguyễn Văn Xe,"Đọc phân vai trích đoạn kịch, cảm phục sự bình tĩnh, mưu trí và lòng trung kiên của má Nam Bộ bảo vệ cán bộ cách mạng.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 22, 23 (Chủ điểm 2: Cánh chim hòa bình)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,5,tv-g5-b5,Bài 5: Lòng dân (Phần 2),Nguyễn Văn Xe,Hiểu sâu sắc chân lý: Lòng dân là chỗ dựa vững chắc và thành trì kiên cố nhất của cách mạng.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 26, 27 (Chủ điểm 2: Cánh chim hòa bình)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,6,tv-g5-b6,Bài 6: Bài ca về trái đất,Định Hải,"Học thuộc lòng bài thơ, khát khao hòa bình, bình đẳng màu da và quyết tâm ngăn chặn chiến tranh hạt nhân.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 30, 31 (Chủ điểm 2: Cánh chim hòa bình)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,7,tv-g5-b7,Bài 7: Một chuyên gia máy xúc,Hồng Thủy,"Cảm nhận tình cảm quốc tế trong sáng, tình bạn lao động gắn bó giữa chuyên gia nước ngoài và công nhân Việt Nam.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 34, 35 (Chủ điểm 2: Cánh chim hòa bình)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,8,tv-g5-b8,Bài 8: Kì diệu rừng xanh,Nguyễn Phan Hách,"Đọc diễn cảm bài văn tả cảnh rừng nguyên sinh tuyệt mỹ của Nguyễn Phan Hách, bồi dưỡng tình yêu và ý thức bảo tồn thiên nhiên.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 40, 41 (Chủ điểm 3: Con người với thiên nhiên)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,9,tv-g5-b9,Bài 9: Trước cổng trời,Nguyễn Đình Thi,"Học thuộc lòng bài thơ, cảm nhận vẻ đẹp hùng vĩ, thơ mộng của vùng cao Tây Bắc và cuộc sống lao động tươi vui của đồng bào các dân tộc.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 46, 47 (Chủ điểm 3: Con người với thiên nhiên)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,10,tv-g5-b10,Bài 10: Đất Cà Mau,Mai Văn Tạo,"Đọc hiểu đặc điểm địa lý, thiên nhiên kỳ thú của rừng đước Cà Mau và phẩm chất kiên cường của con người Nam Bộ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 52, 53 (Chủ điểm 3: Con người với thiên nhiên)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,11,tv-g5-b11,Bài 11: Mùa thảo quả,Ma Văn Kháng,Cảm nhận nghệ thuật miêu tả hương thơm và sắc màu tuyệt mỹ của mùa thảo quả chín qua ngòi bút Ma Văn Kháng.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 58, 59 (Chủ điểm 3: Con người với thiên nhiên)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,12,tv-g5-b12,Bài 12: Hành trình của bầy ong,Nguyễn Đức Mậu,"Học thuộc lòng bài thơ, ca ngợi đức tính cần cù, kiên trì và lối sống cống hiến ngọt ngào cho đời của loài ong.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 64, 65 (Chủ điểm 3: Con người với thiên nhiên)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
